merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
NYX*PIERREBAGUETTESRO,nyx pierrebaguettesro,5814,ADONY,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
B A INTER1252165169471,,3005,LONDON,GB,Travel & Airlines,Airlines,Airlines,Individual airline merchant codes,Lufthansa,0.95,rule_based,mcc_rule
WAY SPECIALTY COFFEE ROAS,way specialty coffee roas,5812,GENT,BE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
EVIGNET24,,5999,4475214503,HU,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
X9108 ENTERTAI,entertai,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
AMZNPRIMENL*H52MH6M84,amznprimenl,5999,WWW.AMAZON.NL,LU,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
PAAGMAN,paagman,5192,'S-GRAVENHAGE,NL,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
TEDI FIL 4401,tedi fil,5651,OFFENBURG,DE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
FOODORA_AT_UAS8-2530-8,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
PAYPAL *CDSSUPERSTO,paypal cdssupersto,5251,01752725572,GB,,,Wholesale,"Durable goods wholesalers, industrial equipment",Hardware Stores,0.0,rule_based,
CHICKA,chicka,5812,YARDLEY,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
LIME*PAYOFF K2JN,lime payoff,4789,302111983348,GR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
UAB STEIDE IR PARTNERIAI,uab steide partneriai,5039,PALANGA,LT,,,Wholesale,"Durable goods wholesalers, industrial equipment",Construction Materials,0.0,rule_based,
SKYSHOWTIME 9561D SHOWTIM,skyshowtime showtim,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
FJORD1 AS T-4000,,4111,FLOROE,NO,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ETSY.COM*STOHLERARTMETALW,etsy stohlerartmetalw,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
BOLT.EUR2506171220,bolt,5812,TALLINN,EE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
FOODORA_AT_QYMS-JVFG,foodora qyms jvfg,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
PUBLITRANS 2000 UNAT,publitrans unat,4111,PITESTI,RO,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
32ROSU,,7995,2639519787,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
INDEX STANDARD DMC,index standard dmc,7299,DUBAI,AE,Beauty & Personal Care,Personal care services and spas,Personal Services,"Hotels, laundry, beauty services, personal care",Misc Personal Services,0.95,rule_based,mcc_rule
DOCTOLIB* MME MARIE-AL,doctolib mme marie,8099,LEVALLOIS-PER,FR,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",,0.95,rule_based,mcc_rule
TV NOVA 4653414437,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
RESTAURANT ALP NOVA,restaurant alp nova,5812,LENZERHEIDE/L,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL 4YGSEED2,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
E-TABACNICTVI.CZ,tabacnictvi,5993,PRACHATICE,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
LIME*RIDE YDOS,lime ride ydos,4789,BARCELONA,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FAMILYMART,familymart,5499,TOKYO,JP,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
CS POINT JINCE,point jince,5541,JINCE,CZ,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
ITINERE SERV.RIST FREC,itinere serv rist frec,5812,MILANO     MI,IT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
PAYPAL *SPOTIFY*P3AB96,paypal spotify,5815,35314369001,SE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TOOGOODT 8ZJ8JCZT7JF80,toogoodt,5812,TOOGOODTOGO.E,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
FRUEHMESSER TANK PUNKT,fruehmesser tank punkt,5541,LANDAU,DE,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
BOLT.EUD2407021227,bolt,5812,TALLINN,EE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
GOPAY  *MJMODELY.CZ,gopay mjmodely,5970,BRNO,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
HIGHROLLER,highroller,7995,2213034354,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
BOLT.EU/O/2404180654,bolt,4121,TALLINN,EE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
HXZOMAWDQBXR#TISSEO.FR,hxzomawdqbxr tisseo,4111,TOULOUSE CEDE,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
7537.3504.9921 AIB_ECO,aib eco,7995,VALETTA,MT,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
STADT NORDHORN,stadt nordhorn,7523,NORDHORN,DE,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
AMAZON UK* ZP55C6RF4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
O17456033530368008 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL COM86R20,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GOPAY  $NAHRADNI-DILY-,gopay nahradni dily,5533,NAHRADNI-DILY,CZ,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
BERNARDAZZI GRAND HOTEL,bernardazzi grand hotel,7011,CHISINAU,MD,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
AMAZON UK* DY50C1EW5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
GOPAY  *MAXA.CZ,gopay maxa,7995,BEROUN,CZ,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
AMADEA MELANTRICHOVA,amadea melantrichova,5947,PRAHA 1,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,
LIME*PAYOFF SOPR,lime payoff sopr,4789,BUCHAREST,RO,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
GUMROAD* EL PUPITRE DO,gumroad pupitre,5192,GUMROAD.COM,US,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
BOLT.EU/O/2507061706,bolt,4121,TALLINN,EE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
GRIMALDI FORUM,grimaldi forum,7392,MONACO,MC,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
ESTABLIMENTS PYRENEES,establiments pyrenees,5311,ANDORRA LA,AD,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
O17645825214810185 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
W M MORRISON STORE,morrison,5411,CARDIFF,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
E1CE0 ROI BASI,roi basi,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
AVIS RENT-A-CAR,avis rent car,3389,38445565DE4,DE,,,Car Rental,Specific rental car companies,Avis Rent-A-Car,0.0,rule_based,
BAKKER VAN VESSEM,bakker van vessem,5462,HAARLEM,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
NOW F35D5 BOOST,now boost,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
LIME*2 COURSES EPUL,lime courses epul,4789,SAN FRANCISCO,US,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FOODORA_AT_Q4ZX-2452-Z,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
WAL-MART #5116,wal mart,5411,LA PORTE,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
EGE*VRF67CECB874A3AEC,ege,4722,MANCHESTER,GB,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
ARAL STATION 283093110,aral station,5541,UEBACH-PALENB,DE,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
ROMPETROL RC214 ALBA I,rompetrol alba,5541,ALBA IULIA,RO,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
TV NOVA 6212127771,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25240021939�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
1 GRAVITY,gravity,7230,SINGAPORE 179,SG,Beauty & Personal Care,Beauty salons,Personal Services,"Hotels, laundry, beauty services, personal care",Beauty Salons,0.95,rule_based,mcc_rule
FAMILYMART,familymart,5499,TOKYO,JP,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
NOW X8046 SKY SPOR,now sky spor,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
ZAHRADNICTVI S.R.O.,zahradnictvi,780,RAKOVNIK,CZ,,,Agricultural Services,"Farming, veterinary services, horticulture, agricultural cooperatives",Landscaping Services,0.0,rule_based,
TRINITY ARMS,trinity arms,5813,LONDON,GB,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
FOODORA_AT_JNVX-2536-K,foodora jnvx,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
0157AE_8754025O0157AE,,4511,ROISSY CDG CE,FR,Travel & Airlines,Airlines,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule
887D8 SPORTS,sports,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
WOW 97BD7 ENTERTAI,wow entertai,4899,UNTERFOEHRING,DE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
KANTYNA EUROVIA,kantyna eurovia,5814,PRAHA 4,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
FOODORA_AT_CWLD-2533-X,foodora cwld,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
VIPPS*BRAGE ROBERT HAN,vipps brage robert han,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
NYX*PEAZINOVENDINGLTDCY,nyx peazinovendingltdcy,5814,LEUKOSIA,CY,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
LA METROPOLE MOB,metropole mob,4111,SKAD45D5U97X�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
GOPAY  *MEATFLY.CZ,gopay meatfly,5941,BRNO,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Sporting Goods Stores,0.0,rule_based,
AMAZON UK* IB8RJ19Y5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
FOODORA_AT_IHJL-AZA8,foodora ihjl,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
VELKANIVLADIMIR,velkanivladimir,5411,PALAIO FALIRO,GR,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
SZAMOS CAFE,szamos cafe,5812,BUDAPEST,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NOW 575DD GB ULTRA,now ultra,5815,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
ETSY.COM - KAKACH84,etsy,5699,DUBLIN,IE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",,0.95,rule_based,mcc_rule
O17480007853760961 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
SQSP* WEBSIT#214363962,sqsp websit,7372,NEW YORK,US,,,Business Services,"Advertising, consulting, IT services",,0.0,rule_based,
RESTAURANTS AMWAJ ALKH,restaurants amwaj alkh,5812,MADINA,SA,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
E875A SPORTS,sports,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
MARKS&SPENCER PLC,marks spencer plc,5411,PANTHEON,GB,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
HABIBA SWEETS,habiba sweets,5462,AMMAN,JO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
FOODORA_AT_C3Y1-2527-6,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
UBER,uber,4121,AMSTERDAM,NL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
DADDY BUDAORS,daddy budaors,5812,BUDAORS,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
